epoch,t.loss,t.auc,v.loss,v.auc,lr,s.cnt,min.v.loss
0,0.975853681564331,0.45493255446105385,0.9749789237976074,0.45430494735740445,0.005,0,0.9749789237976074
1,0.8035253286361694,0.48859939872042457,0.8025169968605042,0.49154935138182265,0.005,0,0.8025169968605042
2,0.6646358370780945,0.5112031150525964,0.6630957126617432,0.5179502791901389,0.005,0,0.6630957126617432
3,0.5531299710273743,0.525997110496299,0.5517494678497314,0.5357374463525088,0.005,0,0.5517494678497314
4,0.46381285786628723,0.5363458360007628,0.46239030361175537,0.5449694149524705,0.005,0,0.46239030361175537
5,0.39237672090530396,0.5423857793625738,0.3911120295524597,0.5508759130929586,0.005,0,0.3911120295524597
6,0.33547887206077576,0.5457195251993666,0.33395084738731384,0.5547426885115553,0.005,0,0.33395084738731384
7,0.29013708233833313,0.5492827093940897,0.28873491287231445,0.556535258305585,0.005,0,0.28873491287231445
8,0.2541421055793762,0.5506043367062667,0.2528768479824066,0.5589300385255526,0.005,0,0.2528768479824066
9,0.22551605105400085,0.5519476358040116,0.22412584722042084,0.5611820405113965,0.005,0,0.22412584722042084
10,0.20260311663150787,0.5536048327754077,0.20133371651172638,0.5625114244375198,0.005,0,0.20133371651172638
11,0.18422837555408478,0.5543633841444641,0.18294881284236908,0.5637971283624791,0.005,0,0.18294881284236908
12,0.16941428184509277,0.555358640896852,0.16826099157333374,0.5641422415792233,0.005,0,0.16826099157333374
13,0.1573304682970047,0.5564135160189881,0.15626542270183563,0.5657478273864873,0.005,0,0.15626542270183563
14,0.14755026996135712,0.5567802178085814,0.14643333852291107,0.5665831896468754,0.005,0,0.14643333852291107
15,0.13955257833003998,0.5573561332687572,0.138665571808815,0.5658069649547517,0.005,0,0.138665571808815
16,0.1328514963388443,0.5583569664817716,0.13190621137619019,0.5665661820602153,0.005,0,0.13190621137619019
17,0.12740394473075867,0.5583578394925964,0.12635082006454468,0.5682973857628244,0.005,0,0.12635082006454468
18,0.12277474999427795,0.5589582380756845,0.121730275452137,0.5679101212502269,0.005,0,0.121730275452137
19,0.11904138326644897,0.5590890639971831,0.11814689636230469,0.5668645176049256,0.005,0,0.11814689636230469
20,0.1158548966050148,0.5590081265910876,0.11499742418527603,0.5677425142841467,0.005,0,0.11499742418527603
21,0.11308640241622925,0.5592911945743329,0.1122327372431755,0.568170156273422,0.005,0,0.1122327372431755
22,0.11074040830135345,0.559455123846264,0.10977134853601456,0.568653955388462,0.005,0,0.10977134853601456
