epoch,t.loss,t.auc,v.loss,v.auc,lr,s.cnt,min.v.loss
0,0.8129638433456421,0.4544954428831673,0.8136432766914368,0.4651243953100164,0.005,0,0.8136432766914368
1,0.6470797657966614,0.48669986934144954,0.6471502780914307,0.49844925220330605,0.005,0,0.6471502780914307
2,0.5157982707023621,0.5171916448893119,0.5154342651367188,0.5293011434744144,0.005,0,0.5154342651367188
3,0.4157487452030182,0.5372299903954543,0.4150611162185669,0.5493037089521666,0.005,0,0.4150611162185669
4,0.3409463167190552,0.5487823118984568,0.340078204870224,0.56043918682862,0.005,0,0.340078204870224
5,0.2850832939147949,0.5557302442042815,0.28414973616600037,0.5665539228146055,0.005,0,0.28414973616600037
6,0.24303974211215973,0.5603338063872187,0.24209174513816833,0.5703067096289934,0.005,0,0.24209174513816833
7,0.21106840670108795,0.5636490187538725,0.2101278305053711,0.572944874891231,0.005,0,0.2101278305053711
8,0.18648776412010193,0.5662589873463237,0.18556857109069824,0.57502046120549,0.005,0,0.18556857109069824
9,0.1673843115568161,0.5684208478062756,0.16649577021598816,0.5767234519470349,0.005,0,0.16649577021598816
10,0.15238264203071594,0.5702421652127128,0.1515236794948578,0.5781948692926883,0.005,0,0.1515236794948578
11,0.14048203825950623,0.5717840864790925,0.13965004682540894,0.5794800119424212,0.005,0,0.13965004682540894
12,0.13095085322856903,0.5731044632387388,0.1301417052745819,0.580602349252747,0.005,0,0.1301417052745819
13,0.12325338274240494,0.574255924392221,0.12246277928352356,0.5815830604825257,0.005,0,0.12246277928352356
14,0.11699307709932327,0.5752714097465598,0.11621908843517303,0.5824538849169233,0.005,0,0.11621908843517303
15,0.11187733709812164,0.5761675546244244,0.11111953854560852,0.5832356134218157,0.005,0,0.11111953854560852
16,0.10768405348062515,0.5769681355085269,0.10694196075201035,0.5839494015735638,0.005,0,0.10694196075201035
17,0.10424184799194336,0.5776861016879133,0.10351523011922836,0.584592073549051,0.005,0,0.10351523011922836
18,0.10141287744045258,0.5783419930842071,0.10070036351680756,0.5851988381195475,0.005,0,0.10070036351680756
19,0.09908304363489151,0.5789509344182988,0.09838327020406723,0.5857802754414835,0.005,0,0.09838327020406723
20,0.09715655446052551,0.5795406060106818,0.0964689776301384,0.586362677825254,0.005,0,0.0964689776301384
21,0.09555132687091827,0.5801329716110601,0.09487665444612503,0.5869501944446844,0.005,0,0.09487665444612503
22,0.09419853240251541,0.5807469231475888,0.09353639930486679,0.5875657096985631,0.005,0,0.09353639930486679
