epoch,t.loss,t.auc,v.loss,v.auc,lr,s.cnt,min.v.loss
0,0.645596981048584,0.42467347661302474,0.6455560922622681,0.4312193219276144,0.005,0,0.6455560922622681
1,0.5645310282707214,0.3951662831302903,0.5643141269683838,0.40645773696064336,0.005,0,0.5643141269683838
2,0.48747190833091736,0.3963890039758593,0.4870743751525879,0.408969404522698,0.005,0,0.4870743751525879
3,0.4099475145339966,0.4038559026963606,0.40934789180755615,0.4171502751375896,0.005,0,0.40934789180755615
4,0.3363156318664551,0.41348387216004023,0.33548909425735474,0.4270713251222131,0.005,0,0.33548909425735474
5,0.272502601146698,0.42374214260816434,0.2714681923389435,0.43730421559660415,0.005,0,0.2714681923389435
6,0.22258804738521576,0.4331820281774307,0.2213936746120453,0.4467088331666843,0.005,0,0.2213936746120453
7,0.18676882982254028,0.44131473925731163,0.18546220660209656,0.45480157172978036,0.005,0,0.18546220660209656
8,0.16231946647167206,0.44816393282639044,0.16093070805072784,0.4616090148910249,0.005,0,0.16093070805072784
9,0.14596828818321228,0.45403967273095625,0.14450481534004211,0.4674797358802667,0.005,0,0.14450481534004211
10,0.1352725625038147,0.45927250603154784,0.13372859358787537,0.47270061383332285,0.005,0,0.13372859358787537
11,0.12867306172847748,0.4640742511320483,0.12704938650131226,0.47750224050650086,0.005,0,0.12704938650131226
12,0.12512192130088806,0.46850801159495037,0.12341690063476562,0.48200736466039146,0.005,0,0.12341690063476562
13,0.12375820428133011,0.4726445592005802,0.1219789981842041,0.4861883535551561,0.005,0,0.1219789981842041
14,0.12380249798297882,0.4765410154544442,0.12196018546819687,0.49010045017209786,0.005,0,0.12196018546819687
15,0.12457162141799927,0.48027925840910274,0.1226821020245552,0.49383266399960046,0.005,1,0.12196018546819687
16,0.1255163550376892,0.48395649967119936,0.12359630316495895,0.4974927042272617,0.005,2,0.12196018546819687
17,0.1262393444776535,0.4876620776565852,0.1243114173412323,0.5011270276292538,0.005,3,0.12196018546819687
18,0.12648892402648926,0.49146445012592366,0.1245746836066246,0.5048483096152159,0.005,4,0.12196018546819687
19,0.12612850964069366,0.4954248481022656,0.1242532804608345,0.5086823049028153,0.005,5,0.12196018546819687
20,0.1251041442155838,0.4996072683300079,0.12328879535198212,0.5127046802604969,0.005,6,0.12196018546819687
21,0.12341812252998352,0.5040479302378923,0.12167578190565109,0.5169797372254328,0.005,0,0.12167578190565109
22,0.12111196666955948,0.5087909141035799,0.11945463716983795,0.5215391250892925,0.005,0,0.11945463716983795
23,0.11826349049806595,0.5138656604596499,0.1167016476392746,0.5263883760838438,0.005,0,0.1167016476392746
24,0.11497797071933746,0.5192587933253359,0.11351927369832993,0.531508328699142,0.005,0,0.11351927369832993
25,0.11136733740568161,0.5249416849918636,0.11002302914857864,0.536804861579393,0.005,0,0.11002302914857864
26,0.1075398325920105,0.5308717992749536,0.10631562769412994,0.5422539192262332,0.005,0,0.10631562769412994
27,0.10359443724155426,0.5370051223908254,0.10249443352222443,0.547818185125981,0.005,0,0.10249443352222443
28,0.09962211549282074,0.5432787081766456,0.09864942729473114,0.553415207474227,0.005,0,0.09864942729473114
29,0.09570704400539398,0.5496104535989242,0.0948554277420044,0.5590270207272263,0.005,0,0.0948554277420044
30,0.09192641079425812,0.5559049244982299,0.09118906408548355,0.5645739877455761,0.005,0,0.09118906408548355
31,0.08835335820913315,0.562081544536219,0.08772746473550797,0.5699370447655311,0.005,0,0.08772746473550797
32,0.08505912125110626,0.5680826002867985,0.08453775942325592,0.5751297914621446,0.005,0,0.08453775942325592
33,0.0821140706539154,0.5740079019461608,0.08169011771678925,0.5802197253258295,0.005,0,0.08169011771678925
34,0.07958763837814331,0.5801376673947639,0.07925368845462799,0.5855240556688779,0.005,0,0.07925368845462799
35,0.07754179835319519,0.5868945370108164,0.07729139178991318,0.5914226781943219,0.005,0,0.07729139178991318
36,0.07602230459451675,0.5945047508129084,0.07584776729345322,0.5981613213277084,0.005,0,0.07584776729345322
37,0.07504332065582275,0.6027398599133719,0.07493751496076584,0.6055424067163415,0.005,0,0.07493751496076584
38,0.07457196712493896,0.6109250574457705,0.0745273232460022,0.6129083743817353,0.005,0,0.0745273232460022
39,0.07451629638671875,0.6184157467306808,0.07452649623155594,0.6195197892098442,0.005,0,0.07452649623155594
40,0.07472623884677887,0.6249409113249621,0.07478564977645874,0.6250549895785636,0.005,1,0.07452649623155594
41,0.07501056045293808,0.6305808687682088,0.07511091977357864,0.6296979837686594,0.005,2,0.07452649623155594
42,0.07517176866531372,0.6355846598469399,0.07530350238084793,0.6338270677303557,0.005,3,0.07452649623155594
43,0.07505076378583908,0.6402340288649124,0.07520534843206406,0.6378366794051986,0.005,4,0.07452649623155594
44,0.07456802576780319,0.6447402066549818,0.07473906129598618,0.6419162669439755,0.005,5,0.07452649623155594
45,0.07373916357755661,0.6492284191904025,0.07391781359910965,0.6461985447028578,0.005,0,0.07391781359910965
46,0.07266067713499069,0.6537326410926088,0.07284141331911087,0.6506696169755546,0.005,0,0.07284141331911087
47,0.07147806882858276,0.6581770555823664,0.07165702432394028,0.6552025609610259,0.005,0,0.07165702432394028
48,0.07034096866846085,0.6624339672244002,0.07051356881856918,0.659680933364041,0.005,0,0.07051356881856918
49,0.06936802715063095,0.6663293361429281,0.06952966749668121,0.6639529234453557,0.005,0,0.06952966749668121
50,0.06862735748291016,0.669676651515855,0.06877278536558151,0.667792159669985,0.005,0,0.06877278536558151
51,0.0681309923529625,0.6723807688643666,0.06826021522283554,0.6709691503336996,0.005,0,0.06826021522283554
52,0.06784965097904205,0.6744027667050425,0.06796291470527649,0.6734319703733074,0.005,0,0.06796291470527649
53,0.06772589683532715,0.6758804603198212,0.0678253099322319,0.6752566607407371,0.005,0,0.0678253099322319
54,0.06769227236509323,0.6770019967804578,0.06778031587600708,0.6766365156246139,0.005,0,0.06778031587600708
55,0.06768402457237244,0.6779858642674408,0.06776247173547745,0.6778130159942883,0.005,0,0.06776247173547745
56,0.0676487609744072,0.6790026937441944,0.06772097200155258,0.6789449802404596,0.005,0,0.06772097200155258
57,0.06755172461271286,0.6801737056752546,0.06762183457612991,0.6801586254256977,0.005,0,0.06762183457612991
58,0.06737668812274933,0.6815439387091992,0.06744955480098724,0.6814851994233141,0.005,0,0.06744955480098724
59,0.06712571531534195,0.6830925765099417,0.06720612198114395,0.6829168206976401,0.005,0,0.06720612198114395
60,0.06681501865386963,0.6847820612351216,0.06690752506256104,0.6844186795275141,0.005,0,0.06690752506256104
61,0.06647170335054398,0.6865770546766145,0.06657998263835907,0.6859715670379931,0.005,0,0.06657998263835907
62,0.06612871587276459,0.6884709965035882,0.06625478714704514,0.6875515153559597,0.005,0,0.06625478714704514
63,0.06581758707761765,0.6904934945435286,0.0659627690911293,0.689083506613442,0.005,0,0.0659627690911293
64,0.0655641034245491,0.6926072719899441,0.06572861969470978,0.6905896389502613,0.005,0,0.06572861969470978
65,0.06538255512714386,0.6947158718302775,0.06556551903486252,0.6920690372980792,0.005,0,0.06556551903486252
66,0.06527259945869446,0.6967087226248556,0.06547179818153381,0.6934368958120853,0.005,0,0.06547179818153381
67,0.06521899998188019,0.6984155027182559,0.06543180346488953,0.694530049178888,0.005,0,0.06543180346488953
68,0.06519655883312225,0.6997788056544996,0.06541910022497177,0.6953801040616585,0.005,0,0.06541910022497177
69,0.06517614424228668,0.7008722145512569,0.06540440768003464,0.696137846931559,0.005,0,0.06540440768003464
70,0.0651339441537857,0.7018089709879919,0.06536386162042618,0.6969454379094894,0.005,0,0.06536386162042618
71,0.06505823135375977,0.7026739454049948,0.06528578698635101,0.6978466943551078,0.005,0,0.06528578698635101
72,0.06495113670825958,0.7035009007089243,0.06517250835895538,0.6988232268079372,0.005,0,0.06517250835895538
73,0.06482598930597305,0.7042817449805483,0.06503862887620926,0.6998145004322719,0.005,0,0.06503862887620926
74,0.06470160186290741,0.7049753199214526,0.06490340083837509,0.7007859056240668,0.005,0,0.06490340083837509
75,0.06459493935108185,0.7055314596774899,0.0647844448685646,0.7016560977357409,0.005,0,0.0647844448685646
76,0.06451541930437088,0.705944261897339,0.0646924078464508,0.7023802848728018,0.005,0,0.0646924078464508
77,0.06446409225463867,0.7062455818255287,0.06463024020195007,0.7029514060981714,0.005,0,0.06463024020195007
78,0.06443562358617783,0.7064997200231393,0.06459276378154755,0.7034399831573857,0.005,0,0.06459276378154755
79,0.06441967189311981,0.7068149758290546,0.06457017362117767,0.7039282606329874,0.005,0,0.06457017362117767
80,0.06440536677837372,0.7073079077962957,0.06455215811729431,0.7045220377210297,0.005,0,0.06455215811729431
81,0.06438392400741577,0.7080578383397675,0.06453053653240204,0.70528276103343,0.005,0,0.06453053653240204
82,0.06435095518827438,0.7090906788687606,0.06450125575065613,0.7062332344484796,0.005,0,0.06450125575065613
