epoch,t.loss,t.auc,v.loss,v.auc,lr,s.cnt,min.v.loss
0,1.0031580924987793,0.567273721205637,1.004347562789917,0.5601987123654777,0.005,0,1.004347562789917
1,0.8295872211456299,0.5700033602429685,0.8300899863243103,0.5690850337083428,0.005,0,0.8300899863243103
2,0.6912297606468201,0.5627072899558623,0.6912981271743774,0.5659330233445781,0.005,0,0.6912981271743774
3,0.5806929469108582,0.5493003428317697,0.5805081725120544,0.5548594065237744,0.005,0,0.5805081725120544
4,0.4912596344947815,0.5361014752851662,0.4908841848373413,0.5423026222854361,0.005,0,0.4908841848373413
5,0.4177209734916687,0.5256868203642125,0.417178213596344,0.5326524491720522,0.005,0,0.417178213596344
6,0.3565540611743927,0.5190062456526473,0.3558852970600128,0.5264167157462776,0.005,0,0.3558852970600128
7,0.30545514822006226,0.5155626479563191,0.3046954572200775,0.5233169762101908,0.005,0,0.3046954572200775
8,0.2628198266029358,0.5143571314100828,0.2620038688182831,0.5226798554124703,0.005,0,0.2620038688182831
9,0.22740937769412994,0.5145273696627151,0.2265666276216507,0.5231363474220331,0.005,0,0.2265666276216507
10,0.19818009436130524,0.5154476498618945,0.19733653962612152,0.5241608606178456,0.005,0,0.19733653962612152
11,0.17421749234199524,0.5167354431521266,0.17338687181472778,0.5255622346044432,0.005,0,0.17338687181472778
12,0.15471622347831726,0.518212291484518,0.15390059351921082,0.5270984531879978,0.005,0,0.15390059351921082
13,0.13896769285202026,0.5197840832917358,0.13816829025745392,0.5287049720857226,0.005,0,0.13816829025745392
14,0.12635348737239838,0.5214077383140616,0.12557071447372437,0.5303693698268896,0.005,0,0.12557071447372437
15,0.11634154617786407,0.5230588798296663,0.11557464301586151,0.5320538538795874,0.005,0,0.11557464301586151
16,0.10847492516040802,0.5247211251708781,0.10772184282541275,0.5337406150045645,0.005,0,0.10772184282541275
17,0.10236075520515442,0.5263909467911234,0.10161985456943512,0.5354278651731459,0.005,0,0.10161985456943512
18,0.09766737371683121,0.5280773346304222,0.09693620353937149,0.5371109116981542,0.005,0,0.09693620353937149
19,0.0941138043999672,0.5297968075520063,0.09339167177677155,0.5388010085031161,0.005,0,0.09339167177677155
20,0.091464564204216,0.5315570479097751,0.09075167030096054,0.5405034273123099,0.005,0,0.09075167030096054
21,0.08952518552541733,0.5333690034345436,0.08882096409797668,0.5422460803190627,0.005,0,0.08882096409797668
22,0.08813412487506866,0.5352436502923678,0.08743736147880554,0.5440450574131981,0.005,0,0.08743736147880554
23,0.08715976029634476,0.5371945942294586,0.08647061884403229,0.5459041016136839,0.005,0,0.08647061884403229
24,0.08649563044309616,0.5392249656776694,0.0858146995306015,0.54782629875014,0.005,0,0.0858146995306015
25,0.08605527132749557,0.5413456799092328,0.08538299053907394,0.5498286197013535,0.005,0,0.08538299053907394
26,0.085770383477211,0.543561056199167,0.08510670810937881,0.5519290406681935,0.005,0,0.08510670810937881
27,0.08558672666549683,0.5458749218873877,0.08493215590715408,0.5541154066080463,0.005,0,0.08493215590715408
28,0.08546137064695358,0.5482957532310181,0.0848168432712555,0.5564085782501597,0.005,0,0.0848168432712555
29,0.08536135405302048,0.5508222432963712,0.08472982048988342,0.5587698157626622,0.005,0,0.08472982048988342
30,0.08526218682527542,0.5534539242883958,0.08464561402797699,0.5612333841692384,0.005,0,0.08464561402797699
31,0.08514527231454849,0.5561920521422015,0.08454481512308121,0.563791372331096,0.005,0,0.08454481512308121
32,0.08499758690595627,0.5590348422881735,0.08441426604986191,0.5664451940934256,0.005,0,0.08441426604986191
33,0.08481045812368393,0.5619785997217231,0.08424557000398636,0.5691995504322795,0.005,0,0.08424557000398636
34,0.08457810431718826,0.5650236780076131,0.08403369039297104,0.5720353887772085,0.005,0,0.08403369039297104
35,0.08429848402738571,0.5681622843675197,0.08377619832754135,0.5749402248988624,0.005,0,0.08377619832754135
